#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CalibratedYuleModel.t:tree" spec="beast.base.evolution.speciation.CalibratedYuleModel">
#            <parameter id="birthRateY.t:tree" lower="0.0" name="birthRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:tree" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.MC1R_protein_trimmed" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="CalibratedYuleBirthRatePrior.t:tree" name="distribution" x="@birthRateY.t:tree">
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.001</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.base.inference.parameter.RealParameter">1000.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="ClockPrior.c:clock" name="distribution">
#            <parameter id="clockRate.c:clock" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <distribution id="Rhino-Nyc.prior" monophyletic="true" spec="beast.base.evolution.tree.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="Rhino-Nyc" spec="beast.base.evolution.alignment.TaxonSet">
#                <taxon id="Nycticebus_coucang" spec="beast.base.evolution.alignment.Taxon"/>
#                <taxon id="Rhinopithecus_bieti" spec="beast.base.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="mean" spec="beast.base.inference.parameter.RealParameter">6.0</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="sigma" spec="beast.base.inference.parameter.RealParameter">0.5</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@MC1R_protein_trimmed" id="treeLikelihood.MC1R_protein_trimmed" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:tree">
#            <siteModel id="SiteModel.s:JTT" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:JTT" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:JTT" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:JTT" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JTT.s:JTT" spec="beast.base.evolution.substitutionmodel.JTT"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:clock" id="StrictClock.c:clock" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.MC1R_protein_trimmed	Tree.height	Tree.treeLength	mutationRate	CalibratedYuleModel	birthRateY	logP(mrca(Rhino-Nyc))	mrca.age(Rhino-Nyc)	clockRate
15000	-1707.456717505402	-1685.9923626273758	-21.464354878026178	-1685.9923626273758	6.337130330337271	32.73091894827562	1.0	-14.001972338854795	0.5487965782021044	-1.1471745121370729	5.321257353817979	0.01167311681526762
16000	-1702.7400119762951	-1681.3516518254412	-21.38836015085405	-1681.3516518254412	7.318564311643952	34.39589550645961	1.0	-15.370504877118218	0.2555576829363077	-0.46645589816254696	5.653110575602383	0.013074304215933742
17000	-1703.6033027948565	-1683.5582765887877	-20.04502620606885	-1683.5582765887877	6.380502493535325	34.58672333490348	1.0	-13.74652803956	0.4132525736992726	-0.26681089131093605	6.143212322560261	0.013129417715310152
18000	-1706.8790643906596	-1686.5488820244857	-20.3301823661739	-1686.5488820244857	5.626401276819047	30.00817784397362	1.0	-13.374862885669442	0.3418813125429117	-1.1131093083874133	5.333922693772455	0.014531517401697823
19000	-1706.759941715861	-1686.0217362736546	-20.738205442206525	-1686.0217362736546	6.519237477796187	32.77808988763303	1.0	-13.899350206246787	0.4014498206181604	-0.8361272059294652	5.447579936423043	0.010854583841654037
20000	-1707.2759509466634	-1689.2199604974994	-18.055990449164106	-1689.2199604974994	5.174787210004703	24.735049224971355	1.0	-9.466882038718571	0.7410150951931516	-1.9737153029177672	5.065140665588389	0.01882833062084085
21000	-1707.0239165973876	-1686.1594197244285	-20.864496872958966	-1686.1594197244285	7.569683396297796	33.73327372882756	1.0	-14.052009182535848	0.5748029654361191	-0.4510004845450386	5.664433961864202	0.010454847657469827
22000	-1701.1262123549793	-1682.2197915664053	-18.90642078857389	-1682.2197915664053	6.241527907102952	30.60325372820692	1.0	-12.149335217028735	0.5839544459721248	-0.3798093468024087	5.722495050352538	0.015478696362906962
23000	-1702.1642259511657	-1681.8996832415276	-20.26454270963809	-1681.8996832415276	6.939867679673411	34.999080165268644	1.0	-13.738712986411711	0.4975711133252413	-0.30856428590033746	6.203436640327658	0.013495152952321553
24000	-1703.5584488194743	-1683.2811195499992	-20.277329269475146	-1683.2811195499992	6.343453132378697	32.36661335951047	1.0	-13.374819969447632	0.6184405693626813	-0.46787784472001626	5.65208730112621	0.015619002109179858
25000	-1705.5980856045198	-1684.676409708682	-20.921675895837875	-1684.676409708682	7.265021206592005	35.07318547407057	1.0	-14.555599991865371	0.38491817953917423	-0.40537410859971296	5.700347905100777	0.01349628606721854
26000	-1711.2100302172578	-1689.5639996314296	-21.646030585828232	-1689.5639996314296	6.212230664378453	32.6361245138208	1.0	-14.492805214287642	1.0053313860619488	-0.23282149218153703	6.0592880238193585	0.015276755156677663
27000	-1706.8035460981998	-1684.8737954392325	-21.92975065896726	-1684.8737954392325	9.281379047160684	38.93511876907372	1.0	-15.682988188230532	0.40832556446368473	-0.22706228469440917	6.025208451456622	0.009686400611700752
28000	-1705.3691894695496	-1684.4635678185166	-20.9056216510331	-1684.4635678185166	6.473761361268627	31.47489481496902	1.0	-13.39530707389193	0.6241770808013032	-1.06645360576616	5.351670510804332	0.01208168996975264
29000	-1702.3676486294066	-1683.255189356238	-19.112459273168792	-1683.255189356238	6.091375295339598	30.174020091796276	1.0	-12.223413588631521	0.5310666835468816	-0.6066627940635995	5.563610585933348	0.016926996859908724
30000	-1704.7740972089869	-1683.9876718871772	-20.78642532180981	-1683.9876718871772	5.2824561586392536	24.819304241448286	1.0	-10.70045748660734	1.108924063892061	-3.0674854272803707	4.808007115240271	0.01828332243954356
31000	-1706.9913788506956	-1685.0359401099577	-21.955438740737893	-1685.0359401099577	7.200115412945293	38.39767360025131	1.0	-14.664823418505867	0.46404038844925627	-1.1430805439665948	6.677233043834199	0.011495394551319628
32000	-1706.0760527796567	-1683.5269088747473	-22.549143904909418	-1683.5269088747473	9.049696617402347	40.71252272710288	1.0	-16.401216816664135	0.36915414111676303	-0.22901574800715496	5.959847818475034	0.010836276024445977
33000	-1706.947143075326	-1686.0880444288848	-20.859098646441282	-1686.0880444288848	7.094159219488337	36.533728644696204	1.0	-14.112052077114502	0.4181662871109351	-0.703545995777662	6.488750776537969	0.011160485191686931
34000	-1705.775351451681	-1684.6249675471818	-21.150383904499254	-1684.6249675471818	7.205653756913782	36.410016375955955	1.0	-13.952617321824034	0.3719902399383591	-1.2712067258886899	6.722985260307554	0.014075464656643282
35000	-1705.94436540239	-1685.0326637938113	-20.911701608578728	-1685.0326637938113	6.8196430907252354	36.43001361163449	1.0	-14.0721523681627	0.49070220177812574	-0.6361778285841533	6.452982602281493	0.012644868039185537
36000	-1708.541532212797	-1688.963644120281	-19.57788809251584	-1688.963644120281	6.442185720071469	33.31166071775738	1.0	-13.22532630294795	0.3782871916922375	-0.40922636556524217	6.30284898292756	0.012478002535562431
37000	-1707.984360180522	-1687.8061781835272	-20.178181996994784	-1687.8061781835272	6.799186884136054	35.03785701107958	1.0	-13.666310204609339	0.45365201582195164	-0.3869659346612332	6.283879007692103	0.014008918354893584
38000	-1712.635221344881	-1688.8968152820414	-23.738406062839694	-1688.8968152820414	8.345522062999612	42.05968909654322	1.0	-16.105869598601174	0.284062333571056	-1.9754687801605968	6.935328131597641	0.010105497867583177
39000	-1709.224267808845	-1683.365425057446	-25.85884275139909	-1683.365425057446	7.65418416662533	42.057769901528964	1.0	-15.218615410601032	0.35637158876545555	-4.756533851074341	7.505115028565859	0.009915081443910992
40000	-1706.8633081847206	-1685.8436559675438	-21.019652217176713	-1685.8436559675438	6.525360625274705	35.835606716021886	1.0	-15.102537057182778	0.27243568225428566	-0.3018084520902537	6.194957815238998	0.011479857215699335
41000	-1705.0092592326077	-1685.2717338700777	-19.73752536253009	-1685.2717338700777	5.173112389779224	26.95651768446163	1.0	-11.315960222893372	0.5476647384175559	-2.1084207127285652	5.02978627094752	0.01680065961632235
42000	-1703.777103766632	-1681.440821044953	-22.336282721679027	-1681.440821044953	8.198976177250902	36.57046200854063	1.0	-15.5585135551736	0.6843373741943483	-0.2419231300573569	6.08981029287512	0.012108747484695426
43000	-1705.2037764400059	-1681.2839501938092	-23.919826246196642	-1681.2839501938092	8.908861878451217	40.870844741519356	1.0	-15.899912848890756	0.5432645252517418	-1.714832255705296	6.862855985394019	0.009955403019081254
44000	-1708.4632026868155	-1691.5759519181581	-16.88725076865733	-1691.5759519181581	5.332173019408383	24.85504149933684	1.0	-8.868938883945383	0.9435015740352904	-1.1613808311102272	5.316044782728613	0.01994220356940689
45000	-1705.7692029773825	-1685.446546928444	-20.322656048938637	-1685.446546928444	6.427418056514553	34.222934256651335	1.0	-13.890220076382107	0.4679545247380716	-0.27650615036064286	5.840759933251842	0.01391862527793713
46000	-1706.3803370618327	-1683.2458464898682	-23.134490571964548	-1683.2458464898682	9.311572281235662	41.925347426810276	1.0	-17.021025926775295	0.22248296637176032	-0.7005573527630191	6.487219663046501	0.009549254451855668
47000	-1704.8205407653954	-1683.006655693609	-21.813885071786476	-1683.006655693609	7.698731333633339	37.46199266972073	1.0	-15.392532551314837	0.4624177340424183	-0.2773187856561053	5.839489201280135	0.012953474139290417
48000	-1705.822965196386	-1684.767032976348	-21.05593222003799	-1684.767032976348	6.741683354580944	35.48413744446524	1.0	-14.805475644615198	0.3512010116594474	-0.38136887385768475	5.721093634697093	0.010818341500406174
49000	-1702.7037313225583	-1682.1366293113258	-20.567102011232567	-1682.1366293113258	6.84950264315153	34.170709874328764	1.0	-13.941512741866012	0.5816586550375491	-0.25225060522499176	5.884979887453836	0.013152763697609527
50000	-1706.0104557582638	-1686.6954552139562	-19.315000544307633	-1686.6954552139562	6.4929977346173455	33.09558533919197	1.0	-12.47940129124388	0.46332780246455474	-0.689600442843347	6.481564684231838	0.01439618530179674
51000	-1705.89990878826	-1683.7864644989568	-22.11344428930329	-1683.7864644989568	9.094166668741007	39.91570507596003	1.0	-15.902880607229632	0.2931083246327646	-0.522169749702766	6.3849535017752395	0.010069697520161847
52000	-1714.859310249111	-1687.6102493192384	-27.249060929872748	-1687.6102493192384	12.57710391921388	53.591374800156416	1.0	-21.049637596244608	0.11720526731491057	-1.4269041191272445	6.774955729858976	0.0084768729587173
53000	-1705.021046220947	-1684.9605432048509	-20.060503016096167	-1684.9605432048509	6.5374361598825725	34.02694589416126	1.0	-13.66519713355713	0.33976083705809723	-0.5593132970153486	6.4083637743303274	0.012046326286994435
54000	-1707.9134541732533	-1686.073337255548	-21.840116917705245	-1686.073337255548	7.0433498620291175	35.10471317790123	1.0	-15.787454869735182	0.24183738216648343	-0.5564038333920249	5.5934212986718945	0.010656787839821854
55000	-1706.3226647245988	-1684.8089037940579	-21.51376093054083	-1684.8089037940579	6.922023978732945	36.55069080541506	1.0	-15.309217408237432	0.3262485222208427	-0.4091063872151755	5.6972500746734624	0.011318011572931006
56000	-1704.1756331901695	-1682.5190094093252	-21.656623780844257	-1682.5190094093252	5.615998562344158	28.232406739544782	1.0	-13.021143151958558	1.0474698869852928	-1.674015271067904	5.149052316994994	0.016481257996506543
57000	-1702.4640602499621	-1683.404224920112	-19.059835329850173	-1683.404224920112	6.219952666230068	32.003933936994656	1.0	-12.582525401430004	0.5133935754093187	-0.22875570609210838	5.961500951652145	0.012517886792506925
58000	-1707.478767918312	-1686.739884719778	-20.73888319853393	-1686.739884719778	6.671112993841639	34.68082451888388	1.0	-14.421062412768757	0.3744605699946262	-0.38464618439539694	5.718171300476096	0.012550312324985042
59000	-1706.537100705071	-1684.1708703011172	-22.366230403953836	-1684.1708703011172	5.8847692215171765	30.24146844416384	1.0	-13.959868649812844	0.8717804134217633	-1.6284838216139406	5.1625358309249245	0.01503702094033433
60000	-1706.0401585761308	-1683.0262624290467	-23.013896147084104	-1683.0262624290467	8.695415806632043	41.42315301141047	1.0	-17.358820865621603	0.2038237096279111	-0.32969414450019874	6.227928488626884	0.009588791073533805
61000	-1702.7907096349018	-1682.937027001271	-19.85368263363086	-1682.937027001271	6.598848314906727	33.02703380046002	1.0	-13.320884765026836	0.5113149906748665	-0.288298602071834	5.823213052762504	0.014591830265609064
62000	-1706.956117370227	-1683.7212135181549	-23.234903852072225	-1683.7212135181549	6.9501124947203055	36.09054496637687	1.0	-16.196246371954025	0.84692116901683	-0.28970543010669103	6.178765317472327	0.01271463940100946
63000	-1703.8808478350961	-1684.1493179590875	-19.731529876008633	-1684.1493179590875	7.553481697234104	33.28269250825157	1.0	-13.442308208396044	0.4221498242553522	-0.23624547630657244	5.927701577949982	0.014275471263096019
64000	-1708.0201814306397	-1687.2895890654595	-20.730592365180133	-1687.2895890654595	6.708800670377315	35.0275197407916	1.0	-14.782767092553705	0.280159892950885	-0.30458086982268895	6.1984811290500454	0.01188559468728603
65000	-1709.2892146164618	-1689.2793475243213	-20.009867092140357	-1689.2793475243213	5.8829988642442705	30.843729575924392	1.0	-13.159683515654848	0.3969657694233395	-0.8586812899555093	5.437465584470256	0.016503648668955373
66000	-1706.976126759647	-1683.567964238418	-23.40816252122911	-1683.567964238418	8.644712504632764	40.28573387379705	1.0	-16.838147501430456	0.5492295923781384	-0.254018634660817	6.118800845990442	0.010238847733965824
67000	-1711.3183494800703	-1686.437066238301	-24.881283241769328	-1686.437066238301	8.231668673302233	39.595120008503834	1.0	-18.08863681834748	0.703960428076834	-0.22853792371848716	5.962942132591312	0.011854079830667011
68000	-1704.964359404305	-1684.1311861645127	-20.833173239792345	-1684.1311861645127	6.696069765585509	31.75674437293167	1.0	-15.044888466286528	0.23184328882469307	-0.33419821069799815	5.76718370111473	0.0157512815816879
69000	-1706.707468097333	-1685.5779854944115	-21.12948260292159	-1685.5779854944115	5.982476434579512	29.865101439976627	1.0	-13.365765804587507	0.36703225566598213	-1.8505663645625225	5.098674583760728	0.015895899018057692
70000	-1707.8836701744817	-1684.4583077822933	-23.425362392188358	-1684.4583077822933	6.233450529073614	32.39302027689059	1.0	-16.09034100469546	1.1850079594663678	-0.2501699969482184	5.889594736757048	0.013135348318335823
71000	-1702.7705180432988	-1681.517950058469	-21.252567984829803	-1681.517950058469	7.338283590558843	34.40727922878274	1.0	-14.583739150612033	0.3715584110896425	-0.743429782741428	5.49125722113395	0.013271247642865774
72000	-1703.5201992916834	-1682.86914222788	-20.65105706380329	-1682.86914222788	6.011947124931341	31.13820995853647	1.0	-13.330673849737419	0.7847847032842155	-0.6476153049866045	5.540748460894317	0.012760490355927244
73000	-1704.0266534193106	-1683.6087196794795	-20.417933739831163	-1683.6087196794795	6.964668955752625	34.49581652255816	1.0	-13.20214102737712	0.6533392283822147	-0.7262858662027836	6.500247195673327	0.012704804349357824
74000	-1710.5468956648203	-1687.9823499798322	-22.564545684988133	-1687.9823499798322	9.753884591806584	40.33070165120936	1.0	-15.79237614202787	0.44597413667213903	-0.6643237520104699	6.468258688849306	0.013711251420958814
75000	-1705.7459067252703	-1683.754170312288	-21.991736412982377	-1683.754170312288	8.252353189570186	37.62412454087447	1.0	-15.478524681692742	0.5336170550977425	-0.22604021931353832	6.0111549690454735	0.010655046477218556
76000	-1704.9385307170662	-1683.7198252682695	-21.21870544879667	-1683.7198252682695	7.047693772369956	36.33123504907504	1.0	-14.056034026276905	0.3482684756339198	-1.3019633467063931	6.733543452721673	0.01256773304995259
77000	-1707.0290941198991	-1686.6211859467683	-20.40790817313078	-1686.6211859467683	6.470983053639271	34.93520055176556	1.0	-14.349762711863995	0.3350510313208076	-0.23610272360371257	6.071803102157864	0.01303719884061184
78000	-1704.0912028754803	-1683.9235759425117	-20.16762693296862	-1683.9235759425117	7.034064233274391	34.95685562696689	1.0	-13.8030075269468	0.42812257506928225	-0.29760203110329936	6.189487042378327	0.012879770698486517
79000	-1703.8669644573363	-1683.4284655112017	-20.438498946134498	-1683.4284655112017	6.629679232155655	34.19894783749341	1.0	-13.836243189716381	0.5809859585575531	-0.23007379124391134	5.953726689122217	0.012425530635122618
80000	-1705.9585400345197	-1683.6661176333928	-22.292422401127034	-1683.6661176333928	7.1988907381896325	36.200295214590646	1.0	-15.516897212482661	0.6935531058059073	-0.22630653306460582	6.016049617127496	0.01334521321075545
81000	-1705.1171897206393	-1683.4677488554328	-21.649440865206568	-1683.4677488554328	7.927180566593891	37.153231072842495	1.0	-15.878461290574762	0.24141839352120734	-0.27645406981914056	6.1591582815539505	0.012639569020802094
82000	-1705.1862328233071	-1682.6990385936108	-22.487194229696275	-1682.6990385936108	6.70748503021224	33.793775961058145	1.0	-15.174047414004846	0.7395547136985352	-0.6997259254490108	5.513207142203029	0.013625552246530823
83000	-1703.1685504416255	-1682.1791494908402	-20.989400950785143	-1682.1791494908402	6.304815392126308	31.138727241036662	1.0	-13.440673783578472	0.7355701409418942	-0.9407072255331973	5.402122139192096	0.01356745357059046
84000	-1706.5711860380698	-1686.3873699370258	-20.183816101043966	-1686.3873699370258	5.988339099867021	29.400005743351436	1.0	-12.50065438058426	0.8486980976746185	-0.9321140834127207	5.40572618652342	0.014828262372103778
85000	-1705.3621631617866	-1684.381977198638	-20.98018596314855	-1684.381977198638	7.236783434193033	35.15745767878028	1.0	-14.439633398047626	0.5041423915180998	-0.31017341347807237	5.794595446942692	0.014513838708831038
86000	-1709.1560154138592	-1686.8277594907008	-22.32825592315839	-1686.8277594907008	5.888699144187286	29.172242441492386	1.0	-13.160395873702011	0.7687670986592607	-2.51570889242731	4.929972537786393	0.011378495442839793
87000	-1703.7022976708815	-1682.8458731367823	-20.856424534099204	-1682.8458731367823	7.035383580073864	31.06344143337371	1.0	-13.43372554863735	0.7973617606643016	-0.7340353364463571	5.495894860271377	0.013219275985854284
88000	-1709.118783986326	-1688.6634849798584	-20.455299006467595	-1688.6634849798584	6.868979667525732	35.27083115621275	1.0	-13.484497549412925	0.4067721798095673	-0.9549105472353718	6.603787708797821	0.012687639089508526
89000	-1709.3270943981613	-1690.0536084191976	-19.273485978963766	-1690.0536084191976	6.797882255637916	32.759576544625155	1.0	-12.903213404685841	0.4023383558085268	-0.36533499665831437	6.264143563250732	0.01529271247734232
90000	-1707.4815432258806	-1686.0530512600344	-21.42849196584628	-1686.0530512600344	5.7531548992934525	30.97372600697911	1.0	-15.439997601600297	0.21213980857831619	-0.6231548212691341	5.554262707065918	0.01499307558013533
91000	-1702.8112109385834	-1683.9883045710237	-18.82290636755972	-1683.9883045710237	6.271317871204842	30.291396419841032	1.0	-11.931644401944652	0.7066620192286837	-0.32332423672543315	5.779168747591395	0.015542399496713648
92000	-1707.261826701348	-1686.4179488208752	-20.84387788047277	-1686.4179488208752	6.520870303172125	35.3086511840304	1.0	-13.807272422232725	0.6311305821929386	-0.5816699375148046	6.421828510694854	0.01305373340587359
93000	-1710.5090044983783	-1685.9906425263819	-24.518361971996484	-1685.9906425263819	10.567718765505152	47.79458396216832	1.0	-18.06928990847522	0.2702707631740989	-0.8417378170070218	6.554953360365668	0.009662605892328226
94000	-1706.9391301294565	-1687.4945997714399	-19.44453035801666	-1687.4945997714399	5.761960794245794	31.36301265302064	1.0	-12.623402224735152	0.6266824875282205	-0.3732627609543113	5.728456809780116	0.01385684760285182
95000	-1707.4436454316349	-1684.9483502495923	-22.495295182042582	-1684.9483502495923	8.319403699623654	40.99562173762073	1.0	-16.434815365166507	0.3391772755968303	-0.22620513798793296	6.014383764166684	0.009971976379124359
96000	-1710.591476042201	-1689.3182123436889	-21.273263698512253	-1689.3182123436889	6.672761600069042	35.81851125531877	1.0	-14.820763314395613	0.41308246076114447	-0.4212245960411185	5.687403420207137	0.012289351488990949
97000	-1707.9798650602283	-1685.6649132507632	-22.31495180946513	-1685.6649132507632	6.35142743191923	33.33154114302936	1.0	-14.624260616190922	0.608644025285723	-1.272021092393536	5.276733195926701	0.014855989505878372
98000	-1703.6917144296829	-1684.2082965148043	-19.483417914878544	-1684.2082965148043	5.709692599735643	30.566575688172076	1.0	-12.928213703457907	0.3898779706349012	-0.5817072559310368	5.578149372830673	0.013808318552554894
99000	-1704.760674897551	-1684.6851910485452	-20.07548384900594	-1684.6851910485452	7.556446485458766	34.75736327844576	1.0	-13.56571389801035	0.406746208631427	-0.4939428523239118	6.366163556132491	0.011026414622267784
